Date,Utility,SARS_CoV_2_copies_L,Number_of_New_COVID19_Cases_by_,ObjectId
11/04/2021,Longmont,1568236.4,66,36
01/03/2022,Longmont,1303890,225,69
11/16/2020,Longmont,312565.9,110,101
11/11/2021,Longmont,308896.5,73,113
12/02/2021,Longmont,288508.7,60,149
01/17/2022,Longmont,505811.6,178,163
01/10/2022,Longmont,1135147.1,241,202
01/13/2022,Longmont,982145.8,278,215
12/27/2021,Longmont,964617,125,216
01/20/2022,Longmont,788956.6,218,247
11/01/2021,Longmont,286253.7,57,255
10/28/2021,Longmont,272185,60,293
10/25/2021,Longmont,337169.3,41,316
01/24/2022,Longmont,740171.1,185,354
01/06/2022,Longmont,725085.8,290,357
01/27/2022,Longmont,582364,158,385
11/22/2021,Longmont,189793.8,38,424
10/04/2021,Longmont,186058.8,45,435
12/09/2021,Longmont,185304.6,52,437
11/09/2020,Longmont,184751,90,443
11/29/2021,Longmont,180581.8,52,461
11/12/2020,Longmont,216751.4,169,502
01/31/2022,Longmont,254004,93,509
11/19/2020,Longmont,252747.7,130,512
11/08/2021,Longmont,252295.7,61,513
12/06/2021,Longmont,251656.7,38,516
12/20/2021,Longmont,212727.9,46,531
11/18/2021,Longmont,245655.7,51,554
11/15/2021,Longmont,243530,51,559
10/21/2021,Longmont,227636.6,47,595
08/23/2021,Longmont,159473,24,618
02/03/2022,Longmont,199504.5,83,633
12/07/2020,Longmont,157788.7,66,636
10/07/2021,Longmont,156503.7,38,646
12/10/2020,Longmont,156161.3,79,654
11/05/2020,Longmont,191672.5,98,692
05/03/2021,Longmont,191343.2,25,694
09/23/2021,Longmont,167058,52,705
12/16/2021,Longmont,166442.7,30,711
11/30/2020,Longmont,164923.8,91,721
11/23/2020,Longmont,178182,99,756
12/03/2020,Longmont,178098,96,758
01/28/2021,Longmont,169208.4,21,795
09/27/2021,Longmont,106316.7,33,805
04/15/2021,Longmont,104910.8,28,823
05/06/2021,Longmont,102949.6,20,835
10/18/2021,Longmont,139367.1,30,862
09/16/2021,Longmont,120273,36,904
09/20/2021,Longmont,132923.9,22,938
12/28/2020,Longmont,129156,38,955
09/13/2021,Longmont,101413.7,39,971
02/07/2022,Longmont,147591.1,60,996
10/29/2020,Longmont,117402.7,107,997
12/13/2021,Longmont,147560.3,25,998
09/30/2021,Longmont,147187.1,44,1007
10/14/2021,Longmont,146838.1,50,1011
04/26/2021,Longmont,110795.5,35,1074
08/19/2021,Longmont,108327.4,29,1090
09/02/2021,Longmont,125922.9,50,1119
08/30/2021,Longmont,96036.6,27,1187
08/26/2021,Longmont,122263.1,23,1190
12/30/2020,Longmont,121785.8,44,1194
03/25/2021,Longmont,77085.1,27,1202
01/04/2021,Longmont,76265.1,43,1223
09/09/2021,Longmont,75327.1,46,1257
02/14/2022,Longmont,75245.3,22,1262
04/08/2021,Longmont,74406.7,40,1275
12/14/2020,Longmont,85501.1,60,1278
02/17/2022,Longmont,85208.7,21,1284
10/19/2020,Longmont,71380,35,1298
04/05/2021,Longmont,71295.1,43,1304
12/23/2020,Longmont,80469.2,45,1365
02/10/2022,Longmont,90089.7,58,1367
04/22/2021,Longmont,83072.6,31,1376
11/02/2020,Longmont,95797.5,86,1423
04/29/2021,Longmont,78575.4,34,1477
03/08/2021,Longmont,65535.3,21,1566
12/17/2020,Longmont,64879.8,48,1578
10/11/2021,Longmont,62510.4,40,1609
10/15/2020,Longmont,61353.6,27,1625
08/16/2021,Longmont,61329.1,21,1626
01/14/2021,Longmont,53918.9,26,1646
03/04/2021,Longmont,53822.4,20,1652
03/29/2021,Longmont,51354.5,23,1662
01/18/2021,Longmont,50630.1,16,1693
10/26/2020,Longmont,53117,36,1745
02/21/2022,Longmont,58109.3,15,1773
03/10/2022,Longmont,57231.8,0,1785
07/29/2021,Longmont,52872.2,15,1813
05/24/2021,Longmont,55343.3,8,1826
12/21/2020,Longmont,55236,34,1834
01/11/2021,Longmont,49041.1,28,1835
05/10/2021,Longmont,54968,7,1880
03/18/2021,Longmont,46349.6,30,1901
02/11/2021,Longmont,54680.2,29,1912
10/22/2020,Longmont,46087,55,1925
02/25/2021,Longmont,44866.3,22,1926
02/08/2021,Longmont,47570.1,26,1941
04/19/2021,Longmont,47485.5,26,1943
07/26/2021,Longmont,47387.2,11,1945
01/07/2021,Longmont,44846.5,42,1948
08/05/2021,Longmont,30651,22,2002
08/02/2021,Longmont,37014.5,11,2035
06/14/2021,Longmont,32397.6,5,2037
02/18/2021,Longmont,34445.1,17,2040
03/11/2021,Longmont,38796.2,27,2054
10/12/2020,Longmont,34328.3,28,2072
03/22/2021,Longmont,29942,10,2089
09/24/2020,Longmont,31524.4,12,2117
03/14/2022,Longmont,33973.1,6,2164
05/27/2021,Longmont,29555.7,6,2175
03/01/2021,Longmont,33581.9,20,2189
08/12/2021,Longmont,32985.6,22,2196
09/17/2020,Longmont,27811.3,6,2240
02/24/2022,Longmont,38135.7,12,2259
01/25/2021,Longmont,27756.8,27,2264
04/12/2021,Longmont,42285.4,23,2267
